DateTime,CAD,HKD,ISK,PHP,DKK,HUF,CZK,GBP,RON,SEK,IDR,INR,BRL,RUB,HRK,JPY,THB,CHF,EUR,MYR,BGN,TRY,CNY,NOK,NZD,ZAR,USD,MXN,SGD,AUD,ILS,KRW,PLN
2018-02-06,0.1606589007,1.0,12.9664014605,6.5914961153,0.7720610354,32.2241009097,2.6174496644,0.0922014875,0.4817796127,1.0236714625,1736.1098720994,8.2198168107,0.4188770059,7.3348962169,0.7713245438,14.000601641,4.0393971142,0.120027385,0.1037312117,0.5006898126,0.2028775038,0.4838749831,0.803356742,1.0062446189,0.1758762694,1.542680207,0.1278902109,2.4057342614,0.1692270987,0.1631484497,0.4457330166,138.9884132237,0.4319782579
2018-02-07,0.160113204,1.0,12.9583363569,6.5554668629,0.77159118,32.116977494,2.6155106103,0.0919264381,0.4826202793,1.0219980718,1734.281537999,8.217192084,0.4153924303,7.3106890725,0.7714149467,13.978416595,4.0405129428,0.1203570281,0.1036666909,0.4992069498,0.202751314,0.4839264796,0.8025460539,1.0016068337,0.1751656075,1.5305350238,0.1279039632,2.3891854908,0.1688834061,0.1625908379,0.4465546375,138.4696723096,0.4312016006
2018-02-08,0.1607808341,1.0,13.0695756563,6.6086956522,0.7768881466,32.4609843938,2.6355237747,0.0913544548,0.4856203351,1.0331228143,1745.5535257581,8.2229239522,0.4179132523,7.399739026,0.7766376116,14.0205647476,4.0722375907,0.1206221619,0.1043895819,0.5029803226,0.2041651443,0.4875097865,0.8095307688,1.0111174905,0.1771073647,1.5450388851,0.1278981158,2.4003131687,0.170029751,0.1638290099,0.4470275067,139.3987160081,0.4352523618
2018-02-09,0.1612231078,1.0,13.0437047455,6.5972808251,0.7755065896,32.5134135542,2.639474918,0.0924519456,0.485107048,1.0360785539,1746.4905974892,8.2309214982,0.4192738449,7.4496535917,0.775485753,13.9177996562,4.0660519873,0.119810387,0.1041829453,0.5063291139,0.2037610043,0.4893472938,0.8059801011,1.0208157525,0.1766109288,1.5498359119,0.1278637287,2.4059175913,0.1700369849,0.1637860082,0.450830859,139.2082096161,0.4365577955
2018-02-10,0.1612231078,1.0,13.0437047455,6.5972808251,0.7755065896,32.5134135542,2.639474918,0.0924519456,0.485107048,1.0360785539,1746.4905974892,8.2309214982,0.4192738449,7.4496535917,0.775485753,13.9177996562,4.0660519873,0.119810387,0.1041829453,0.5063291139,0.2037610043,0.4893472938,0.8059801011,1.0208157525,0.1766109288,1.5498359119,0.1278637287,2.4059175913,0.1700369849,0.1637860082,0.450830859,139.2082096161,0.4365577955
2018-02-11,0.1612231078,1.0,13.0437047455,6.5972808251,0.7755065896,32.5134135542,2.639474918,0.0924519456,0.485107048,1.0360785539,1746.4905974892,8.2309214982,0.4192738449,7.4496535917,0.775485753,13.9177996562,4.0660519873,0.119810387,0.1041829453,0.5063291139,0.2037610043,0.4893472938,0.8059801011,1.0208157525,0.1766109288,1.5498359119,0.1278637287,2.4059175913,0.1700369849,0.1637860082,0.450830859,139.2082096161,0.4365577955
2018-02-12,0.1608789054,1.0,13.0772118633,6.6460184374,0.7764777041,32.5334751596,2.6444333208,0.0923956117,0.4851708172,1.0344450006,1743.9150294081,8.2273808034,0.42146373,7.4130375839,0.7771764068,13.8937554749,4.0539356776,0.1199578693,0.1042839862,0.5044007842,0.2039586201,0.4864639386,0.8092854461,1.016508155,0.1764276478,1.5300650732,0.1278834522,2.3814708213,0.1695240479,0.1631522963,0.4507049597,138.5204188045,0.4353647854
2018-02-13,0.1611328226,1.0,12.999263997,6.6639368903,0.7721604279,32.3592523868,2.6315734915,0.0921921486,0.4829216209,1.0302797848,1743.830532721,8.2176288264,0.4213046949,7.3865466947,0.7708024506,13.768438948,4.028424228,0.1194398084,0.1036623923,0.5046077933,0.2027429069,0.4858138016,0.8110960225,1.0098582935,0.1756144588,1.5319228337,0.1278468284,2.3819337183,0.1691148268,0.1629054495,0.4516881421,138.7251598992,0.4331118414
2018-02-14,0.1607703059,1.0,12.9626753637,6.6668737382,0.7712170627,32.3880519749,2.6267018688,0.092188228,0.4825386965,1.0281617228,1740.7185380753,8.191385826,0.4195786095,7.335435109,0.7696847337,13.7081327328,4.0168763266,0.1192628255,0.1035357457,0.4990215872,0.2024952115,0.4858829011,0.8111093855,1.0058290625,0.1746958637,1.5109799658,0.1278459388,2.3806181084,0.1686597298,0.1626235958,0.452202723,137.82574934,0.4319407776
2018-02-15,0.1596758184,1.0,12.7912569201,6.6662914565,0.7622872814,31.8942316548,2.5961135045,0.0907258271,0.4770627181,1.0149094891,1729.0555959191,8.1709525905,0.4119194048,7.2459605211,0.7611616508,13.621153669,4.0039704061,0.1181400489,0.1023300554,0.4978766514,0.2001371223,0.4814219784,0.8110782518,0.9961830889,0.1730298906,1.4899972371,0.1278409382,2.3664848603,0.1676677957,0.1612414682,0.4505387677,136.1757211711,0.4249971859
2018-02-16,0.1599011069,1.0,12.8437919962,6.6805158034,0.7640722617,31.9330317299,2.5995342587,0.0910996215,0.4783081484,1.0170395675,1728.3938078971,8.2114096369,0.4135659988,7.2106197232,0.7630361411,13.5762574503,4.0008617241,0.1181895588,0.1025861981,0.497963664,0.2006380862,0.479939269,0.8112208783,0.9931369834,0.1728885196,1.4908954749,0.1278634373,2.3659044512,0.1675848131,0.1610090378,0.4535438402,136.1585572277,0.426727808
2018-02-17,0.1599011069,1.0,12.8437919962,6.6805158034,0.7640722617,31.9330317299,2.5995342587,0.0910996215,0.4783081484,1.0170395675,1728.3938078971,8.2114096369,0.4135659988,7.2106197232,0.7630361411,13.5762574503,4.0008617241,0.1181895588,0.1025861981,0.497963664,0.2006380862,0.479939269,0.8112208783,0.9931369834,0.1728885196,1.4908954749,0.1278634373,2.3659044512,0.1675848131,0.1610090378,0.4535438402,136.1585572277,0.426727808
2018-02-18,0.1599011069,1.0,12.8437919962,6.6805158034,0.7640722617,31.9330317299,2.5995342587,0.0910996215,0.4783081484,1.0170395675,1728.3938078971,8.2114096369,0.4135659988,7.2106197232,0.7630361411,13.5762574503,4.0008617241,0.1181895588,0.1025861981,0.497963664,0.2006380862,0.479939269,0.8112208783,0.9931369834,0.1728885196,1.4908954749,0.1278634373,2.3659044512,0.1675848131,0.1610090378,0.4535438402,136.1585572277,0.426727808
2018-02-19,0.1606180788,1.0,12.8457378316,6.7061550348,0.7672418233,32.0525366984,2.6090136492,0.0912593356,0.4801751223,1.0214267319,1732.5346381664,8.2140097862,0.4133505022,7.2182230234,0.7662631986,13.6224568633,4.0116404842,0.1185990214,0.1030131342,0.4973577131,0.2014730878,0.4797836724,0.8110636106,0.9948493433,0.1732680917,1.4897141386,0.1278392995,2.3706206541,0.1678599021,0.1614833891,0.4498892609,136.3862992532,0.4270924543
2018-02-20,0.1610891879,1.0,12.8742918104,6.6867600907,0.7713492631,32.2924111073,2.6222954148,0.0913194337,0.4830293426,1.0325119887,1742.0926161845,8.2862587909,0.415478151,7.2405825021,0.7704378088,13.6977078996,4.027281484,0.1194937286,0.1035743508,0.498202985,0.2025707154,0.4823043222,0.8108835928,1.0013878963,0.1738184756,1.5009580627,0.1278107489,2.3822307844,0.1685361837,0.1620731442,0.4476483444,137.1013682172,0.4294917607
2018-02-21,0.1619352093,1.0,12.8605681901,6.6668396633,0.772931566,32.4005355975,2.6324202572,0.0918227961,0.4838542261,1.0343259879,1739.4318099252,8.2757600606,0.4160222543,7.2311476941,0.7724125762,13.7438888947,4.0255965788,0.1198970324,0.1037979676,0.5000363293,0.2030080651,0.484217519,0.8107866848,1.0008200039,0.173903115,1.4881826014,0.1277960578,2.3927092308,0.168848154,0.1627967324,0.4470786062,137.2229891739,0.4316853676
